"","Page","Date","message"
"2029","Tekebaev",2017-03-13,"Өмүрбек Текебаевдин ишине Европа көз салууда"
"2030","Tekebaev",2017-03-13,"������������������"
"2031","Tekebaev",2017-03-14,"Калп айтат энен"
"2032","Tekebaev",2017-03-13,"Kanatbek Aziz Сегодня 13 марта 2017 года несмотря на отсутствие в силу известных нам причин Лидера партии «Ата Мекен» Омурбека Текебаева и не имеющихся возможностей представителей ответчика участвовать на судебном разбирательстве в отсутствии самого ответчика по судебному разбирательству о защите чести достоинства и деловой репутации мэра города Бишкек Албека Ибраимова судья Первомайского районного суда города Бишкек Айгуль Уметова приняла противоречащее законодательству решение удовлетворить просьбу столичного градоначальника
В качестве протеста и призывая этим к объективности за нарушение и игнорирование судьей ходатайства о перенесении судебного разбирательства на неопределенный срок или привода под конвоем Омурбека Текебаева из СИЗО ГКНБ на следующее судебное заседание А также за ограничение закрепленного Конституцией страны права каждого на судебную защиту своих интересов представители Лидера Омурбека Текебаева – Таалайгуль Токтакунова и Канатбек Азиз в демонстративной форме покинули зал судебного заседания до вынесения решения судьей Айгуль Уметовой по данном делу
Решение по поданному иску судьей Айгуль Уметовой было принято без проведения какихлибо прений сторон"
"2033","Tekebaev",2017-03-13,"Недолго осталось нынешней власти Потом отвечать придется им за весь тот произвол что творят сейчас Всей шайкой"
"2034","Tekebaev",2017-03-14,"Долго ли это будет длиться Атамбаев оказался похуже предыдущих Вначале срока такой безобидный пушистенький а как срок почти закончился так давай метать хулиганить закрывать за решетку а то могут твои делишки обнародовать Ушел бы красиво достойно С таким успехом не удивлюсь если жизнь ему обернется бумерангом и сам окажется за решеткой за свои подлые делишки и за этот политический беспредел"
"2035","Tekebaev",2017-03-14,"Всеравно Текебаевке ДАНК ������ 100 "
"2036","Tekebaev",2017-03-14,"Ушул биздин соттор озунчо чечим чыгара алат деп ойлойсунарбы баары жогортодон чечилип булар только окуп берсе керек Бул бийлик кеткенде коробуз булардын  честь и достоинствасы анык баасын������"
"2037","Tekebaev",2017-03-14,"Бугунку соттор жон гана шыпыргылар"
"2038","Tekebaev",2017-03-14,"Анан кимдер чечет"
"2039","Tekebaev",2017-03-14,"Что вы скафните и ноеете Вам кого не дай всех говном польете и будете недовольны"
"2040","Tekebaev",2017-03-14,"А Теке сам напросился"
"2041","Tekebaev",2017-03-13,"Өлкөдөгү саясий абал тууралуу маек

Көкөтайдын ашы Чоң чырдын башы"
"2043","Tekebaev",2017-03-11,"Majlis Podcast The Fallout From Detaining A Kyrgyz Opposition Leader

The detention of Omurbek Tekebaev the leader of Kyrgyzstans AtaMeken party has provided opponents of President Almazbek Atambaev and his Social Democratic Party of Kyrgyzstan SDPK with a fresh rallying point

The countrys presidential election is scheduled for November and Atambaev is constitutionally prohibited from running so this promises to be the most contested presidential election in Kyrgyzstans 25year history

That makes Tekebaevs detention not only a political"
"2044","Tekebaev",2017-03-11,"Detained Kyrgyz Opposition Party Leader Tekebaev Named As Presidential Candidate

Kyrgyzstans opposition AtaMeken Fatherland party has named its detained leader Omurbek Tekebaev as the party’s candidate for the November presidential election

The decision was made at an extraordinary AtaMeken congress held in the capital Bishkek on March 5

Tekebaev a former parliament speaker"
"2045","Tekebaev",2017-03-12,"Аллахым колдосун"
"2046","Tekebaev",2017-03-11,"Omurbek Tekebaev Political Pugilist At Center Of Kyrgyzstans Storm

The detention on arrival in Bishkek of Omurbek Tekebaev a veteran politician and leader of the AtaMeken party immediately set off political friction in Kyrgyzstan

Modest protests started the same day and continued on February 27 when a court ordered Tekebaev held for two months while he is investigated on charges of fraud and corruption The demonstrations continue

Theres been bad blood between Tekebaev and"
"2047","Tekebaev",2017-03-11,"Өмүрбек Текебаевдин адвокат Сот даяр чечимди алып келип окуп койду

27февраль 2017жыл
Булак Azattyk Media"
"2048","Tekebaev",2017-03-16,"УЙЯТ ИШ БОЛУПТУР"
"2049","Tekebaev",2017-03-11,"Коомдук ишмерлер адилеттүүлүккө үндөшөт

1 Роза Отунбаева
2 Аликбек Джекшенкулов

27февраль 2017жыл
Булак Azattyk Media"
"2050","Tekebaev",2017-03-12,"Сучка старая ещё не здохла ты"
"2051","Tekebaev",2017-03-11,"Aида Салянова Бийлик чагым уюштурууда

26февраль 2017жыл
Булак Azattyk Media"
"2052","Tekebaev",2017-04-10,"Аида Салянова кыраакы экен муну бир канча убакыт өткөн соң Садыр Жапаровдун митингинде байкадым Алар чагым уюштуруп элди чектен чыгарып анан камашат тура"
"2053","Tekebaev",2017-03-11,"Джакупова о задержании Текебаева

26февраль 2017жыл
Булак Azattyk"
"2054","Tekebaev",2017-03-11,"Плохо если власть испытывает силу на оскорблениях плохо если почтение приобретается ужасом любовью гораздо скорее чем страхом добьешься того чего хочешь Плиний Младший"
"2055","Tekebaev",2017-03-11,"Дил маек Жогорку Кеңештин депутаты Өмүрбек Текебаев

29июнь 2015жыл"
"2056","Tekebaev",2017-03-11,"Роза Отунбаева Текебаев чындык үчүн күйгөн адам

26февраль 2017жыл
Булак Azattyk Media"
"2057","Tekebaev",2017-03-16,"Ура ура а за что ура"
"2058","Tekebaev",2017-03-10,"Күчтүү Кыргызстан партиясынын билдирүүсү

Күч бирдикте

90 жылдары биздин мамлекет демек ар бир жаран өзүнүн укугун ишке ашыруу үчүн эңсегенине жетүү мурунку муундар калтырып кеткен мурасты байытуу менен көз карандысыз мамлекет түзүүгө уникалдуу мүмкүнчүлүк алган 

Тилекке каршы акыркы жыйырма жылдык тажрыйба көрсөткөндөй биз мындай тарыхый мүмкүчүлүктү озүбүздүн эгемендүүлүгүбүздү пайдалана алган жокбуз биз болгон ресурстарды курулай короттук атабабаларыбыз көздун карегиндей сактаган баалулуктун баарын кыйраттык
Акыркы убакта дагы мыйзам үстөмдүк кылган бийликти түзүү ордуна өздүк бийликти чыңдоого жумшалган аракеттерге күбө болуп жатабыз

Коомдун башын кошо турган бийлик тескерисинче чырчатактарды өзү чыгарып элди экиге бөлүү менен алек
Бийликтин көптөгөн кыянатчылыктарынын бетин ачкан президент Атамбаевдин импичменти тууралуу маселени которгон чыныгы эл уулу Омурбек Текебаевдин камакка алынышы ачыктаначык саясый куугунтук
Далилсиз жалган жалаа боюнча кылмыш кылды деп айыптоо чектен чыккан мыйзамсыздык

Бийликтин мындай ыплас жоругу мыйзамдуулукту эмес жеке саясый кызыкчылыкты коздогон аракет
Баш мыйзам кепилдик кылган сөз эркиндиги бугун иштебегендигинен референдумга каршы чыккан бир нече депутаттын алды камалып арты суракта жүрүшөт
Урматтуу мекендештер

Парламенттик шайлоо алдында АтаМекен партиясы менен Күчтүү Кыргызстан партиясы кызматташтык жөнүндө келишим түзүп шайлоодо чогуу катыштык

Бүгүн демократия сөз эркиндиги мыйзамдуулук коркунучта турганда жөн эле кызматташуу эмес бир жакадан баш бир женден кол чыгара турган мезгил келди Ушундай маалда АтаМекен партиясынын президенттик шайлоодо Өмурбек Текебаевдин кандидатурасын жылдыруу чечимин Күчтүү Кыргызстан саясый партиясы колдойт 

Биз баарыбыз бийликти менчиктеп алуу аракетин токтотушубуз керек Алдыдагы президенттик шайлоо демократияга негизделипэлдин эртеңки жаркын келечегин түзүүгө шарт болушу керек

Аида Салянова"
"2059","Tekebaev",2017-03-11,"Улуттар биримдиги  партиясы неге колдоо корсотбой калды"
"2060","Tekebaev",2017-03-11,"JnОторбаев эле красавчик бул сүрөттө"
"2061","Tekebaev",2017-03-11,"АтаМекен партиясы гана озунун айланасына кучтуу саясатчыларды топтой алат калган партияларда жалан кошоматчылар"
"2062","Tekebaev",2017-03-10,"Евгения Строкова СДПК Митингге чыккандар эл эмес"
"2063","Tekebaev",2017-03-10,"Ушу орустар тажатты баарынан дагы Бизде негизи кыргыздарда патриоттук сезим барбы Качанкыга чейин унчукпай отура беребиз эми булардын филасофиясын угуп"
"2064","Tekebaev",2017-03-10,"Жүн баш"
"2065","Tekebaev",2017-03-10,"Женя ты что СТОЛЬКО ВРЕМЕНИ ПРОСИДЕЛА ОТСИДЕЛА В ЖК КР НИ ОДНОГО ДЕЛА ДЛЯ НАРОДА НЕ СДЕЛАЛА И ТЕПЕРЬ ХОЧЕШЬ СКАЗАТЬ  ЧТО НАРОД ЭТО НЕ НАРОД А ТЫ ТОГДА С КАКОЙ КУЧКИ   ЛЮДЕЙ  СОСКОЧИЛА ВОЗЛЕ БЕЛОГО ДОМА  СМОТРИ  ТЫ ПЯТАЯ ДЕСЯТАЯ А КУЧКА МИТИНГУЮЩИХ БОЛЬШЕ ЧЕМ ТЫ ЭТО ЗНАЧИТ ТЫ НИКТО ПО СРАВНЕНИЮ С ЭТИМИ КУЧКОЙ НАРОДА 
ОТ ТЕБЯ МЫ ТОКОГО НЕ ОЖИДАЛИ
ИЛИ НЮХ ВЛАСТИ И ДЕНЕГ ПОЧУВСТВОВАЛА 
ОСТЫНЬ НЕ ТЕБЕ ЗА НАРОД РОТ ОТКРЫВАТЬ ТЫ НЕ ИЗБРАННАЯ НАРОДОМ ПРИХВОСТИЛАСЬ ТАК И СИДИ ТАМ НИЖЕ ТРАВЫ  ТИШЕ ВОДЫ КАК СИДЕЛА ИЛИ ИДИ ОБРАТНО ОТ КУДА ПРИШЛА ТАМ ТЫ БЫЛА ПОЛЕЗНЕЕ"
"2066","Tekebaev",2017-03-10,"По твоему тогда кто народ Ты что ли ОДИНОКАЯ ЗА ТАБОЙ НИ КУЧКИ ЛЮДЕЙ НИ ДУХУ НИ СЛУХУ
ДУМАЙ КОГДА РОТ ОТКРЫВАЕШЬ ГОЛОВОЙ
ЗАПОМНИ  КАЖЛЫЙ ЧЕЛОВЕК ЭТО ЧАСТЬ НАРОДА  ЧТО ОНИ ОТ ХОРОШЕЙ ЖИЗНИ ВЫХОДЯТ НА ПЛОЩАДЬ 
СОЗДАЙ С АТАМБАЕВЫМ ХОРОШИЕ УСЛОВИЯ НЕ ВОРУЙТЕ НЕ ГРАБЬТЕ РАБОТОЙ КВАРТИРОЙ ОБЕСПЕЧИТЕ И ПОТОМ РОТ ОТКРЫВАЙТЕ
ЖЕНЯ ТЫ ТАК ОПОЗОРИЛАСЬ
НАВЕРНОЕ  ПЕРВЫЙ РАЗ С МИКРОФОНОМ ПОЗНАКОМИЛАСЬ
НЕ ЗРЯ ГОВОРЯТ ЕСТЬ РАЗНИЦА В МЫШЛЕНИИ МЕЖДУ БРЮНЕТКАМИ И БЛОНДИНКАМИ
ПОПРАСИ ИЗВИНЕНИЯ У МИТИНГУЮЩИХ А ТО В КАРАМУШКИНУ ПРЕВРАТИШЬСЯ"
"2067","Tekebaev",2017-03-11,"Орус депутат аялдар оздорун Кыргызстанда журго нун эстен чыгарып коет окшойт"
"2068","Tekebaev",2017-03-11,"политическая пр"
"2069","Tekebaev",2017-03-11,"Закрой пасть не говори за народ пошли вы вместе с карамышык на 3 буквы"
"2070","Tekebaev",2017-03-11,"Карамушкина2������������"
"2071","Tekebaev",2017-03-11,"Надо на неё в суд подать"
"2072","Tekebaev",2017-03-12,"СДПК бащчысы Атамбаев деле ощентип айтканКаптагаев делеокунучтуу эл отурат чыдап"
"2073","Tekebaev",2017-03-12,"7ь"
"2074","Tekebaev",2017-03-12,"Да кыргыз элим даанышмандар туура айткан экен жылкы семирсе тебеген болот эшек семирсе тиштеек болот ит семирсе кабаган уй эчки семирсе сузогон бир кой семиздикти которот деп адамдын копкону манканын опкону тебеген байтал жанына тоорсук байлатпайт дегендей бул да коптур кучка деп"
"2075","Tekebaev",2017-03-12,"Жоок орустар жана башкалар ото акылдуу Кемситип жатса дагы чыдаган КЫРГЫЗ 
Кыргыздар АКЫЛСЫЗ БОЛУП ЖАТАТ
УЙДУН ЭЭСИ  ЖОШ БОЛСО КОНОГУ ЭН БАШ БОЛУП ТОРДУ ТЕЛЕЙТ"
"2076","Tekebaev",2017-03-12,"Кыргызыстанда ЭРКЕКТИН ЖОКТУГУ"
"2077","Tekebaev",2017-03-12,"Жуннн"
"2078","Tekebaev",2017-03-12,"Из контекста вырвали слова и теперь во всю крутят Некрасиво так делать"
"2079","Tekebaev",2017-03-12,"Бул орусту депорт кылыш керек Кытайга озунун народун тарсын Тойунуп калган окшойт Буга тиш кайрап Аллахка тапшырат окшойт ошол нараод"
"2080","Tekebaev",2017-03-12,"Бул орус айака кайдан барып калган дура Аллах жазасын берсин Амин"
"2081","Tekebaev",2017-03-13,"Кыргызстанда Жогорку кеңешке кыргыздар эле отурса жакшы болоор эле"
"2082","Tekebaev",2017-03-13,"пускай она с перво нормально как писать письмо  научиться прежде чем говорит ибо визироватьтоже мне "
"2083","Tekebaev",2017-03-10,"Аброй баалаган базар барбы"
"2084","Tekebaev",2017-03-11,"Аброй эл арасында бааланат"
"2085","Tekebaev",2017-03-10,"Сотрудники МВД Киргизии интересовались составом редакции и личностями других работающих в стране корреспондентов

Подробности httpsregnumrunewspolit2247863html Любое использование материалов допускается только при наличии гиперссылки на ИА REGNUM"
"2086","Tekebaev",2017-03-10,"Это означает только одно  конец нынешней власти Так явственно проступили все признаки"
"2087","Tekebaev",2017-03-11,"Перебор уже Журналистов выдворяют"
"2088","Tekebaev",2017-03-10,"Японский журнал Понятно почему Атамбаев преследует Текебаева

Кроме того Текебаев планировал начать в марте процедуру импичмента в отношении Атамбаева и начал собирать документы для этого Если это так вполне понятно почему Атамбаев начал такое жесткое преследование Текебаева и его сторонников – пишет Кэтрин Путц в японском журнале Дипломат"
"2089","Tekebaev",2017-03-10,"Статья ещё на один миллион сом"
"2090","Tekebaev",2017-03-11,"Пример в южномкорее объявили импичмент якобы подружка президента замешана в коррупциино У нас Электроэнергию рулят сыновья президента"
"2091","Tekebaev",2017-03-10,"Чубак ажы Жалилов 
Өмүрбек Текебаев жана 
Мыктыбек Арстанбектин жолугушуусу маеги

1бөлүк уландысы бар

2016жыл"
"2092","Tekebaev",2017-03-10,"Өмүрбек Текебаев Ислам демократияга альтернатива боло алат

Саясатчы Өмүрбек Текебаев менен журналист Мыктыбек Арстанбектин Дин темасындагы маеги

15июль 2016жыл Бишкек"
"2093","Tekebaev",2017-03-10,"Муну көргөзбөгүлө экстремизм деп чыгышат"
"2094","Tekebaev",2017-03-10,"Интересная беседа Про БРИКС про понимание концепции счастья и денег Про ценностные ориентиры и Ислам"
"2095","Tekebaev",2017-03-14,"Бул проблеманын чечилишин Ирандык Бахаулла ысымын алган инсан айтып кеткен Ыйман аркылуу Нысап аркылуу гана экономикалык проблелар чечилет деп Илим жана Дин адамдын эки канаты деген Исламды илимнаука менен айкалыштырса эн сонун болот эле Ошондо элдин баары мечитке барышмак"
"2096","Tekebaev",2017-03-14,"Бир эле идея менен бул дуйноаалам жана ички дуйно камтылбайт Ошол учун Илим жана Дин деп дуалистик коз караш жарыяланган"
"2097","Tekebaev",2017-03-10,"Атамбаев намерен засудить «Азаттык» «Занозу» и юристов Текебаева"
"2098","Tekebaev",2017-03-10,"Зря она согласилась когдато генпрокурором Женщина создана Богом быть счастливой Помните Абдылдаева МЮ из поста генпрокурора он ушел в отставку когда Акаев потребовал посадит Бакиева А потом стал руководителем администрации президента Бакиева"
"2099","Tekebaev",2017-03-09,"Ата Мекен партиясынын Саясий Кеңеши Атамбаев тууралуу  билдирүү таратты

09032017"
"2100","Tekebaev",2017-03-09,"Жогорку Кеңеште окуп берүүгө мүмкүнчүлүк бербеген Ө Текебаевдин Кайрылуусунун видео версиясы

09032017"
"2101","Tekebaev",2017-03-09,"2050жылКыргызстандын тарыхы окуу китебинен узунду

Акаев Бакиев АтамбаевКыргыз Республикасынын туптолуу тизелоо жана тузолуу жылдарында Текебаевдин доорундагы президенттер болушкан"
"2102","Tekebaev",2017-03-10,"Чындык деп чыркыраган инсан"
"2103","Tekebaev",2017-03-10,"Ак ийилет бирок сынбайт"
"2104","Tekebaev",2017-03-10,"Эл Текебаевди колдойлу"
"2105","Tekebaev",2017-03-10,"Жалгандын курмандыгы кылбайлы"
"2108","Tekebaev",2017-03-09,"Оппозиция в Киргизии требует провести психиатрическую экспертизу президента

Подробности httpsregnumrunewspolit2247116html"
"2110","Tekebaev",2017-03-10,"������"
"2111","Tekebaev",2017-03-10,"Марти лети по скорей"
"2112","Tekebaev",2017-03-10,"Шермендее ������������"
"2113","Tekebaev",2017-03-10,"Давно пора"
"2116","Tekebaev",2017-03-09,"Ханды кудай ураарда өз элине кас болот"
"2117","Tekebaev",2017-03-09,"Прокуратура президенттин жеке куралына айланды беле"
"2118","Tekebaev",2017-03-09,"Текебаев эл эмес"
"2119","Tekebaev",2017-03-09,"Почему СДПК не подаёт в суд а подаёт генпрокурор "
"2120","Tekebaev",2017-03-10,"А эдиль байсалов лучше вообще заткнулся бы Его тоже вообще необходимо закрыть за пособничество батырову в разжигании меж национальной розни 2010 ОШ КТО ПОМОГ БАТЫРОВУ ПОКИНУТЬ СТРАНУ ПОСЛЕ ОРГАНИЗАЦИИ РЕЗНИ "
"2121","Tekebaev",2017-03-10,"Адвокаты вы как профи работайте ато хрена какуюто несете авиакатастрофа и так  далее"
"2122","Tekebaev",2017-03-10,"Мультимилианер ЭлБашыПрезидентЭркек учун мындай ишаракети
Пастыкуят"
"2123","Tekebaev",2017-03-10,"Урушкулаталашкыла эл козунчо эмес эчким жок жерге барып алып Кааласанар акыя айтышкылачапчышкыласогушкуло бирок эркекче Элди чабыштырыпуруштурбастан"
"2124","Tekebaev",2017-03-10,"Лоолудон рекет  чыкса өз элин тонойт деген сөз бар"
"2125","Tekebaev",2017-03-10,"Дача суу айылына кулаган самалёт менен тавар кимдики анан дача суу айылында жашаган элдин койгойун качан анан ким чечет"
"2126","Tekebaev",2017-03-10,"Дача Суу ну Караганда убакыт жок"
"2127","Tekebaev",2017-03-10,"Дача Сууну Караганга убакыт жок болуп жатпайбы орус жаранынын арзы зарыл болуп жатбайбы айланайындар куто тургула Текебаевдын жакточуларынан  айып толотуп  кудай буйруса толоп берет ДАЧА Суудан дан орусжаранынын арзы оор кылмыш болуп жатбайбы  Атамбаев менен Сегизюаевге"
"2128","Tekebaev",2017-03-10,"УРА  АТАМБАЕВ И ЕГО ОКРУЖЕНИЕ ТЕПЕРЬ ЗАТЫКАТЬ ПОДРЯД БУДУТ И ЗА МОРАЛЬ ДЕНЬГИ БРАТЬ ТО КОРРУПЦИЯ ТО МАФИЯ И БАНДИТЫ ТО С ЖУРНАЛИСТОВ ТО С ИНВАЛИДОВ И МАЛОИМУЩИХ СДИРАЮТ  НЕ ВИННЫХ МУСУЛЬМАН ПОД ПРЕДЛОГОМ ТЕРОРИСТ
А ВЫ ВЛАСТЬ ТООДА ВЫ КТО  КОТОРЫЕ  НАЧИНАЧ В СГОВОРЕ С АППАРАТРА ПРЕЗИДЕНТА ПРАВИТЕЛЬСТВА ГКНБ ГЕНПРОКУРАТУРЫ МАД  

СУДЕЙ

ЗАНИМАЕТЕСЬ БЕСПРЕДЕЛОМ ЧИСТКОЙ ТОЛЬКО СЕБЕ НЕ УГОДНЫХ

И ЭТО ВОШЛО В НОРМУ НОРМА 

ДОПРЫГАЕТЕСЬ"
"2129","Tekebaev",2017-03-10,"НЕ СТРАНА  А ХАОСТИЧЕСКАЯ МАШИНА
АТАМБАЕВ  ВЫ НИКОГДА НАВСЕГДА ВСЕМ 6ть МИЛЛИОНАМ НАРОДУ РОТ НЕ ЗАКРРЕТЕ ВСЕХ  ОСТАЛЬНЫХ 35 МИЛЛИОН НЕ ПОСАДИТЕ ЗА ВЫСКАЗАННОЕ МНЕНИЕ

ВАМ ЛЕГЧЕ ОБОШЛОСЬ БЫ ЗА СЕБЯ ВЗЯТЬСЯ ЗА СВОЕ ОКРУЖЕНИЕ ГДЕ УЖЕ ДАВНО ВСЕ НАРУЖУ ВЫПЛЫЛО НАРОД НЕ ПРОСТО ВИДИТ ВАШИ ЗАХВАТЫ АЛЧНОСТЬ ВО ВЛАСТИ РЕЙДЕРСТВО ОЧЕРНЕНИЕ ПРОСТОГО ЧЕЛОВЕКА ДОШЛИ  ДОБРАЛИСЬ ДО ИНВАЛИДОВ НА ТО НА СЕБЕ НА СОБСТВЕННОЙ ШКУРЕ ВСЁ ИСПЫТЫВАЕТ ВАШ БЕСПРПДЕЛ"
"2130","Tekebaev",2017-03-10,"Атамбаев сказал  я чё хочу то и делаю Я всё могу"
"2131","Tekebaev",2017-03-10,"АША президентке татыктуу эмес болор бала богунан дейт ага караганда менин 7 жаштагы иним ойлонуп суйлоп суйлогон созуно жооп берет"
"2132","Tekebaev",2017-03-10,"Атамбаевди прокуратурага берели Кыргызымды койго элге тенебегендиги учун ошондо акыйкаттык болот"
"2133","Tekebaev",2017-03-10,"И что иммунитет бар болсо эле суйлой берсе болобу"
"2134","Tekebaev",2017-03-10,"Аша зөөкүрлүк кылып көп узабайсың го Акыркы мезгилде өтө эле адаштың Күнүң бүтүп барататкыргыз элин алдайм деп ойлобо"
"2136","Tekebaev",2017-03-10,"Мен мулти милонермин дейт Кыргызстанды канча милонго карыз кылып салды экен"
"2137","Tekebaev",2017-03-10,"Кайдан ушул самолёт авария болду Каша ушундан башталды окшойт"
"2138","Tekebaev",2017-03-10,"Позор Атамбаеву"
"2139","Tekebaev",2017-03-10,"Позор Атамбаеву"
"2140","Tekebaev",2017-03-10,"Позор Атамбаеву"
"2142","Tekebaev",2017-03-10,"жеп ичерлер канчага чейин елди сыздатып журот катуу чара корунуздор башкаларга сабак болсун"
"2144","Tekebaev",2017-03-11,"Омурбек Текебаев деле туура анык иштеп жаткан жери жок Калгандары дагы окшош бири бирлерине Ушул биздин атка минерлерибиз кыргызстанды талап тоношпой ынтымакта иштешкендеринде Кыргызстан эли иш издеп чет олколордо журушпойт эле ата энесин биртууганын балачакасын сагынып"
"2145","Tekebaev",2017-03-11,"СантаБарбара"
"2146","Tekebaev",2017-03-11,"Буюрса бул айыптарды  чогултса миллиардер  болот"
"2147","Tekebaev",2017-03-11,"Тууптура оз элине каз болуп жатат  уят уят"
"2148","Tekebaev",2017-03-11,"Текебаев эле кыйратып атыптырсуйлойт эле суйлойт кылган иши жокболок олколорду деле коруп намыстанышпайбыкудайдан коркпогондор экенго"
"2149","Tekebaev",2017-03-13,"Тигил кетсе мындай болот и  бул келсе момундай болот деген создордон абдан чарчадым бир дагы татыктуу таза Адам  жок Ж Кте"
"2151","Tekebaev",2017-03-15,"Эн туура ханды Кудай ураарда оз елине кас болот������������"
"2152","Tekebaev",2017-03-19,"Бети жок бийлик элдин кыжырына тийип бүттү жакшылыгынан эле берсин"
"2153","Tekebaev",2017-03-09,"Адвокат Текебаев сотто күнөөсүз экенин айтты

Булак Azattyk Media"
"2154","Tekebaev",2017-03-09,"Ушуларга эле кыйын болду бир куну тияка бир куну бияка"
"2155","Tekebaev",2017-03-09,"В Бишкеке прошел очередной митинг сторонников оппозиционера Омурбека Текебаева 

Митингующие ждали решения суда по обращению адвокатов депутата которые просили перевести его под домашний арест 

Суд оставил в силе арест на два месяца 

Фото Даниль Усманов"
"2158","Tekebaev",2017-03-09,"Апенди президент элдин шору������"
"2159","Tekebaev",2017-04-18,"Элестетип атышабы"
"2160","Tekebaev",2017-04-18,"Эмне деген плакат маанилу кылып жазып алышса болмок экен"
"2161","Tekebaev",2017-03-09,"Текебаев парламентти таркатууга жол бербөөгө чакырды"
"2162","Tekebaev",2017-03-09,"Текебаев Мне понятны мотивы и замысел Атамбаева по роспуску ЖК обращение

Партия Ата Мекен распространила обращение лидера фракции Жогорку Кенеша Омурбека Текебаева который в настоящее время находится в СИЗО ГКНБ к торага лидерам фракций и депутатам

Ниже представлен полный текст обращения"
"2163","Tekebaev",2017-03-09,"Палата №6 Текебаев ходатайствует о психиатрической экспертизе Атамбаева

Провести судебномедицинскую экспертизу состояния здоровья Атамбаева Алмазбека Шаршеновича

На разрешение экспертов поставить вопрос

1 Каковы основные индивидуальные особенности познавательной деятельности восприятия памяти мышления воображения внимания
2 Имеются ли психологические особенности существенно снижающие способность правильно воспринимать события или предметы понимание значения своих действий и давать о них правильные показания
3 Каково было психическое состояние в момент указанных выступлений
4 Мог ли он учитывая его психологические особенности правильно оценить ситуацию или ее отдельные компоненты и принять правильное решение
5 Не утратило ли лицо трудоспособность в результате произошедших двух революций под его руководством Если да то какова степень стойкой утраты трудоспособности

Текебаев предлагает назначить экспертом в этом вопросе врачебнотрудовую экспертную комиссию а также безотлагательно рассмотреть это ходатайство и о принятом решении сообщить заявителю"
"2164","Tekebaev",2017-03-09,"Согласен Неадекватность в речи присутствует у Атамбаева"
"2165","Tekebaev",2017-03-10,"Судиться со свободой слова
Это не только шизофрения
на почве непомерной гордыни
но и очевидный признак
авторитаризма
как кстати и скорого конца
Все диктаторы во все времена
к этому пороку склонны
Атамбаев уже утратил
все точки соприкосновения
с собственным народом
А дальше что
Репрессии
Впрочем уже начались
Хорошо хоть что мелок клоп
хотя вонюч не меньше
Главное чтоб убежать не успел
от так не уважаемого им народа
с уворованными миллионами
как два его
таких же позорных
предшественника"
"2166","Tekebaev",2017-03-09,"Өмүрбек Текебаев “Конституция сынды элита сынды эл сынса биз кайра турбайбыз”

Биз туура эмес жолдо кетип жатабыз Бироо дагы Туура эмес жолдо кетип жатасыз коюңуз деп айта турган адам калбай калды Жок ал мыйзамсыз болот деген Мелис Турганбаев менен Кашкар Жунушалиевди жумуштан айдады Азыр бироо Андай болбойт деп айта албайт Шеф туура эмес деп айта албай калды Бул аңга түшүрөт

Жогорку Кеңеш
16ноябрь 2016жыл"
"2167","Tekebaev",2017-03-09,"Жаман озунзу мактайт болуп калыптыр "
"2168","Tekebaev",2017-03-09,"ак соз"
"2169","Tekebaev",2017-03-09,"Чындык"
"2170","Tekebaev",2017-03-09,"Байлык менен бийликтин кулу болуп журушсоким айта алат Чындыкты суйлогондорду бийликтеги адам жактырбай калат"
"2171","Tekebaev",2017-03-09,"Эркек Текебаев"
"2172","Tekebaev",2017-03-09,"Акаев убагында свет 70тыйын эле Бакиев убагында 130 тыйын кылганда эл толкуп нааразы болду эле Ошондо до конца Текебаев турган калганы качып кеткен Эми 216тыйын элим кыйналып турат 1 айга 5минден 12минге чейин светтин акчасы келет"
"2173","Tekebaev",2017-03-09,"Текебаев молодец"
"2174","Tekebaev",2017-03-09,"Чыныгы Лидердин коз карашы"
"2175","Tekebaev",2017-03-10,"кордунорбу айткандардын баарын азыр коруп жатат"
"2176","Tekebaev",2017-03-10,"Текебаев молодец"
"2177","Tekebaev",2017-03-10,"Урматтуу кыргыз элим ойгонгула ойгонгула Текебаев чындыкты айтып жатат озубуз деле кубо  болуп жатабызго свет жб которлуп жатканын  эмнеге унчыкпай олтура беребиз"
"2178","Tekebaev",2017-03-11,"ЧындыкТекебаевден башка эч ким ачык суйлой албайт Ашага"
"2179","Tekebaev",2017-03-09,"Өмүрбек Текебаев Аскер сотуна алып келинди

Дагы httpssputnikkgsociety201703091032132238tekebaevaskersotunaalynypkelindihtml"
"2180","Tekebaev",2017-03-09,"Текебаевге боштондук"
"2181","Tekebaev",2017-03-09,"Эмне учун кыргызстанда куроо коюу богот коюу чарасы иштебейт Аны ОЗУ ким жазган"
"2182","Tekebaev",2017-03-09,"Куноосу болсо да болбоса да элде эмне жок убара болуп"
